PdfType: central
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
1 2
-4.239760e-04 6.582925e-06
-4.050453e-04 6.545585e-06
-3.856724e-04 6.507375e-06
-3.658746e-04 6.468328e-06
-3.456700e-04 6.428478e-06
-3.250767e-04 6.387859e-06
-3.041135e-04 6.346511e-06
-2.827983e-04 6.304467e-06
-2.611498e-04 6.261766e-06
-2.391858e-04 6.218446e-06
-2.169236e-04 6.174535e-06
-1.943809e-04 6.130074e-06
-1.715739e-04 6.085091e-06
-1.485190e-04 6.039617e-06
-6.783103e-04 8.830358e-06
-6.640110e-04 8.799110e-06
-6.491610e-04 8.766625e-06
-6.337627e-04 8.732972e-06
-6.178204e-04 8.698109e-06
-6.013410e-04 8.662080e-06
-5.843313e-04 8.624882e-06
-5.708121e-04 8.595334e-06
-5.668008e-04 8.586559e-06
-5.473271e-04 8.543973e-06
-5.272750e-04 8.500149e-06
-5.066604e-04 8.455065e-06
-4.855011e-04 8.408803e-06
-4.638155e-04 8.361403e-06
-4.416231e-04 8.312879e-06
-4.189440e-04 8.263278e-06
-3.957990e-04 8.212681e-06
-3.722091e-04 8.161117e-06
-3.481949e-04 8.108596e-06
-3.237779e-04 8.055220e-06
-2.989790e-04 8.000998e-06
-2.738188e-04 7.945988e-06
-2.483170e-04 7.890231e-06
-2.224938e-04 7.833772e-06
-1.963682e-04 7.776648e-06
-1.699585e-04 7.718906e-06
-7.772320e-04 1.136394e-05
-7.608428e-04 1.132395e-05
-7.438223e-04 1.128243e-05
-7.261734e-04 1.123939e-05
-7.079008e-04 1.119480e-05
-6.890128e-04 1.114873e-05
-6.695170e-04 1.110117e-05
-6.540220e-04 1.106337e-05
-6.494246e-04 1.105215e-05
-6.271047e-04 1.099771e-05
-6.041220e-04 1.094166e-05
-5.804943e-04 1.088402e-05
-5.562429e-04 1.082485e-05
-5.313880e-04 1.076422e-05
-5.059522e-04 1.070217e-05
-4.799587e-04 1.063876e-05
-4.534314e-04 1.057406e-05
-4.263940e-04 1.050810e-05
